title,description,expected category,expected priority,expected resolver_team,actual category,actual priority,actual resolver_team,reason,category same T/F,resolver same T/F
How to list all installed packages,I'd like to output a list of all installed packages into a text file so that I can review it and bulk-install on another system.  How would I do this?,package management,,system support,package management,4,system support,Request instructions to export list of installed packages to a text file for transferring to another system,True,True
How to unzip a zip file from the Terminal?,Just downloaded a .zip file from the internet. I want to use the terminal to unzip the file. What is the correct way to do this?,general usage,,general support,general usage,4,general support,User asking how to unzip a zip file from the terminal; request for command and usage guidance,True,True
"""The following packages have been kept back:"" Why and how do I solve it?","I just added a PPA repository for the development version of the GIMP, but I get this error:
$ apt-get update && apt-get upgrade
...
The following packages have been kept back:
  gimp gimp-data libgegl-0.0-0 libgimp2.0
Why and how can I solve it so that I can use the latest version instead of the one I have now?",package management,,system support,package management,4,system support,Packages kept back due to dependency changes or conflicts; run apt-get install gimp or apt-get dist-upgrade or apt full-upgrade; ensure the PPA is compatible and run apt-get update first,True,True
How can PPAs be removed?,"I've added many PPAs using the
add-apt-repository
command. Is there a simple way to remove these PPAs? I've checked in
/etc/apt/sources.list
for the appropriate deb lines but they aren't there.
This is on a server system so a command line solution would be great!",package management,,system support,package management,4,system support,PPAs are repository entries stored in /etc/apt/sources.list.d; remove the corresponding .list files or use add-apt-repository -r for a command line solution,True,True
How do I install a .deb file via the command line?,"How do I install a
.deb
file via the command line?",package management,,system support,package management,4,system support,User asks how to install a .deb via command line; needs package installation instructions,True,True
How do I save terminal output to a file?,"How do I save the output of a command to a file?
Is there a way without using any software? I would like to know how.",general usage,,general support,general usage,4,general support,User asks how to save terminal command output to a file using built in shell features; no external software requested,True,True
How can I copy the contents of a folder to another folder in a different directory using terminal?,"I am trying to copy the contents of a folder to another folder in a different directory using terminal.
Would somebody be able to provide me an example of the command line syntax required to achieve this?",general usage,,general support,general usage,4,general support,User asks for terminal command example to copy folder contents to another directory,True,True
What command do I need to unzip/extract a .tar.gz file?,"I received a huge .tar.gz file from a client that contains about 800 mb of image files (when uncompressed.) Our hosting company's ftp is seriously slow, so extracting all the files locally and sending them up via ftp isn't practical. I was able to ftp the .tar.gz file to our hosting site, but when I ssh into my directory and try using unzip, it gives me this error:
[esthers@clients locations]$ unzip community_images.tar.gz
Archive:  community_images.tar.gz
  End-of-central-directory signature not found.  Either this file is not a zipfile, or it constitutes one disk of a multi-part archive.  In the latter case the central directory and zipfile comment will be found on the last disk(s) of this archive.
note:  community_images.tar.gz may be a plain executable, not an archive
unzip:  cannot find zipfile directory in one of community_images.tar.gz or community_images.tar.gz.zip, and cannot find community_images.tar.gz.ZIP, period.
What command do I need to use to extract all the files in a .tar.gz file?",general usage,,general support,general usage,4,general support,User needs the correct command to extract a .tar.gz file; unzip failed because the file is a tar archive not a zip,True,True
How do I determine the total size of a directory (folder) from the command line?,"Is there a simple command to display the total aggregate size (disk usage) of all files in a directory (folder)?
I have tried these, and they don't do what I want:
ls -l
, which only displays the size of the individual files in a directory, nor
df -h
, which only displays the free and used space on my disks.",general usage,,general support,general usage,4,general support,Need command line to show total directory disk usage; user tried ls -l and df -h that show per file sizes and filesystem usage respectively,True,True
Where is the cron / crontab log?,"I want to verify that my cron job is executing and at what time.  I believe there is a log for my
sudo crontab -e
jobs, but where?
I searched google and found recommendations to look in
/var/log
(in which I do not see anything with 'cron' in the name) and to edit the file
/etc/syslog.conf
which I also do not have.",general usage,,general support,system settings,4,system support,Cannot find cron or syslog logs; needs help locating or enabling cron logging to verify job execution times,False,False
